Pill_Name,Generic_Name,Uses,Side_Effects,Manufacturer,Dosage (mg),Prescription_Required
"Wellozep1-23","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","PrimeCure Inc","30","Yes"
"Xylomox1-24","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","Horizon Health","20","Yes"
"Yaracillin1-25","enalapril","High blood pressure","cough; dizziness; high potassium","VitalAxis Labs","2.5","Yes"
"Zenostat1-26","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","Orion Medica","5","Yes"
"Acupril1-27","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","Lumen Pharma","100","Yes"
"Biopine1-28","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","CedarBridge Labs","25","Yes"
"Curasone1-29","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","Silverline Pharmaceuticals","500","Yes"
"Duratab1-30","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","BlueLake Pharma","500","Yes"
"Evozol1-31","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","NovaHealth Labs","250","Yes"
"Flexfine1-32","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","MediCore Therapeutics","100","Yes"
"Genomide1-33","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","Pillara Biotech","250","Yes"
"Hematril1-34","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","ClearPath Pharmaceuticals","500","Yes"
"Irovex1-35","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","EverWell Labs","150","Yes"
"Junoril1-36","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","Suncrest Pharma","500","Yes"
"Karonac1-37","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","GreenLeaf Bio","250","Yes"
"Lumamir1-38","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","PrimeCure Inc","800","Yes"
"Medinex1-39","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","Horizon Health","650","No"
"Nexarova1-40","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","VitalAxis Labs","200","No"
"Orbidex1-41","naproxen","Pain and inflammation","indigestion; headache; dizziness","Orion Medica","250","No"
"Pillolon1-42","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","Lumen Pharma","325","No"
"Quinzep1-43","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","CedarBridge Labs","50","No"
"Rivomox1-44","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","Silverline Pharmaceuticals","10","No"
"Sanocillin1-45","loratadine","Seasonal allergies","headache; dry mouth; fatigue","BlueLake Pharma","10","No"
"Terastat1-46","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","NovaHealth Labs","120","No"
"Uropril1-47","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","MediCore Therapeutics","25","No"
"Vitapine1-48","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","Pillara Biotech","1000","Yes"
"Wellosone1-49","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","ClearPath Pharmaceuticals","2.5","Yes"
"Xylotab1-50","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","EverWell Labs","50","Yes"
"Yarazol1-51","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","Suncrest Pharma","45","Yes"
"Zenofine1-52","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","GreenLeaf Bio","5","Yes"
"Acumide1-53","enalapril","High blood pressure","cough; dizziness; high potassium","PrimeCure Inc","2.5","Yes"
"Biotril1-54","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","Horizon Health","10","Yes"
"Curavex1-55","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","VitalAxis Labs","25","Yes"
"Duraril1-56","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","Orion Medica","50","Yes"
"Evonac1-57","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","Lumen Pharma","875","Yes"
"Flexmir1-58","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","CedarBridge Labs","500","Yes"
"Genonex1-59","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","Silverline Pharmaceuticals","500","Yes"
"Hemarova1-60","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","BlueLake Pharma","100","Yes"
"Irodex1-61","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","NovaHealth Labs","250","Yes"
"Junolon1-62","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","MediCore Therapeutics","500","Yes"
"Karozep1-63","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","Pillara Biotech","150","Yes"
"Lumamox1-64","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","ClearPath Pharmaceuticals","500","Yes"
"Medicillin1-65","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","EverWell Labs","250","Yes"
"Nexastat1-66","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","Suncrest Pharma","800","Yes"
"Orbipril1-67","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","GreenLeaf Bio","325","No"
"Pillopine1-68","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","PrimeCure Inc","400","No"
"Quinsone1-69","naproxen","Pain and inflammation","indigestion; headache; dizziness","Horizon Health","500","No"
"Rivotab1-70","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","VitalAxis Labs","325","No"
"Sanozol1-71","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","Orion Medica","50","No"
"Terafine1-72","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","Lumen Pharma","10","No"
"Uromide1-73","loratadine","Seasonal allergies","headache; dry mouth; fatigue","CedarBridge Labs","10","No"
"Vitatril1-74","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","Silverline Pharmaceuticals","120","No"
"Wellovex1-75","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","BlueLake Pharma","25","No"
"Xyloril1-76","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","NovaHealth Labs","500","Yes"
"Yaranac1-77","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","MediCore Therapeutics","5","Yes"
"Zenomir1-78","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","Pillara Biotech","100","Yes"
"Acunex1-79","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","ClearPath Pharmaceuticals","15","Yes"
"Biorova1-80","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","EverWell Labs","40","Yes"
"Curadex1-81","enalapril","High blood pressure","cough; dizziness; high potassium","Suncrest Pharma","2.5","Yes"
"Duralon1-82","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","GreenLeaf Bio","2.5","Yes"
"Evozep1-83","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","PrimeCure Inc","50","Yes"
"Flexmox1-84","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","Horizon Health","100","Yes"
"Genocillin1-85","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","VitalAxis Labs","250","Yes"
"Hemastat1-86","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","Orion Medica","500","Yes"
"Iropril1-87","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","Lumen Pharma","750","Yes"
"Junopine1-88","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","CedarBridge Labs","100","Yes"
"Karosone1-89","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","Silverline Pharmaceuticals","250","Yes"
"Lumatab1-90","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","BlueLake Pharma","500","Yes"
"Medizol1-91","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","NovaHealth Labs","150","Yes"
"Nexafine1-92","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","MediCore Therapeutics","500","Yes"
"Orbimide1-93","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","Pillara Biotech","250","Yes"
"Pillotril1-94","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","ClearPath Pharmaceuticals","800","Yes"
"Quinvex1-95","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","EverWell Labs","500","No"
"Rivoril1-96","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","Suncrest Pharma","600","No"
"Sanonac1-97","naproxen","Pain and inflammation","indigestion; headache; dizziness","GreenLeaf Bio","220","No"
"Teramir1-98","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","PrimeCure Inc","325","No"
"Uronex1-99","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","Horizon Health","50","No"
"Vitarova1-100","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","VitalAxis Labs","10","No"
"Wellodex1-101","loratadine","Seasonal allergies","headache; dry mouth; fatigue","Orion Medica","10","No"
"Xylolon1-102","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","Lumen Pharma","120","No"
"Yarazep1-103","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","CedarBridge Labs","25","No"
"Zenomox1-104","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","Silverline Pharmaceuticals","850","Yes"
"Acucillin1-105","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","BlueLake Pharma","10","Yes"
"Biostat1-106","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","NovaHealth Labs","25","Yes"
"Curapril1-107","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","MediCore Therapeutics","30","Yes"
"Durapine1-108","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","Pillara Biotech","10","Yes"
"Evosone1-109","enalapril","High blood pressure","cough; dizziness; high potassium","ClearPath Pharmaceuticals","2.5","Yes"
"Flextab1-110","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","EverWell Labs","5","Yes"
"Genozol1-111","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","Suncrest Pharma","100","Yes"
"Hemafine1-112","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","GreenLeaf Bio","25","Yes"
"Iromide1-113","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","PrimeCure Inc","500","Yes"
"Junotril1-114","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","Horizon Health","500","Yes"
"Karovex1-115","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","VitalAxis Labs","250","Yes"
"Lumaril1-116","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","Orion Medica","100","Yes"
"Medinac1-117","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","Lumen Pharma","250","Yes"
"Nexamir1-118","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","CedarBridge Labs","500","Yes"
"Orbinex1-119","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","Silverline Pharmaceuticals","150","Yes"
"Pillorova1-120","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","BlueLake Pharma","500","Yes"
"Quindex1-121","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","NovaHealth Labs","250","Yes"
"Rivolon1-122","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","MediCore Therapeutics","800","Yes"
"Sanozep1-123","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","Pillara Biotech","650","No"
"Teramox1-124","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","ClearPath Pharmaceuticals","200","No"
"Urocillin1-125","naproxen","Pain and inflammation","indigestion; headache; dizziness","EverWell Labs","250","No"
"Vitastat1-126","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","Suncrest Pharma","325","No"
"Wellopril1-127","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","GreenLeaf Bio","50","No"
"Xylopine1-128","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","PrimeCure Inc","10","No"
"Yarasone1-129","loratadine","Seasonal allergies","headache; dry mouth; fatigue","Horizon Health","10","No"
"Zenotab1-130","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","VitalAxis Labs","120","No"
"Acuzol1-131","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","Orion Medica","25","No"
"Biofine1-132","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","Lumen Pharma","1000","Yes"
"Curamide1-133","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","CedarBridge Labs","2.5","Yes"
"Duratril1-134","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","Silverline Pharmaceuticals","50","Yes"
"Evovex1-135","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","BlueLake Pharma","45","Yes"
"Flexril1-136","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","NovaHealth Labs","2.5","Yes"
"Genonac1-137","enalapril","High blood pressure","cough; dizziness; high potassium","MediCore Therapeutics","2.5","Yes"
"Hemamir1-138","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","Pillara Biotech","10","Yes"
"Ironex1-139","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","ClearPath Pharmaceuticals","25","Yes"
"Junorova1-140","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","EverWell Labs","50","Yes"
"Karodex1-141","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","Suncrest Pharma","875","Yes"
"Lumalon1-142","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","GreenLeaf Bio","500","Yes"
"Medizep1-143","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","PrimeCure Inc","500","Yes"
"Nexamox1-144","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","Horizon Health","100","Yes"
"Orbicillin1-145","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","VitalAxis Labs","250","Yes"
"Pillostat1-146","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","Orion Medica","500","Yes"
"Quinpril1-147","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","Lumen Pharma","150","Yes"
"Rivopine1-148","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","CedarBridge Labs","500","Yes"
"Sanosone1-149","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","Silverline Pharmaceuticals","250","Yes"
"Teratab1-150","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","BlueLake Pharma","800","Yes"
"Urozol1-151","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","NovaHealth Labs","325","No"
"Vitafine1-152","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","MediCore Therapeutics","400","No"
"Wellomide1-153","naproxen","Pain and inflammation","indigestion; headache; dizziness","Pillara Biotech","500","No"
"Xylotril1-154","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","ClearPath Pharmaceuticals","325","No"
"Yaravex1-155","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","EverWell Labs","50","No"
"Zenoril1-156","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","Suncrest Pharma","10","No"
"Acunac1-157","loratadine","Seasonal allergies","headache; dry mouth; fatigue","GreenLeaf Bio","10","No"
"Biomir1-158","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","PrimeCure Inc","120","No"
"Curanex1-159","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","Horizon Health","25","No"
"Durarova1-160","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","VitalAxis Labs","500","Yes"
"Evodex1-161","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","Orion Medica","5","Yes"
"Flexlon1-162","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","Lumen Pharma","100","Yes"
"Genozep1-163","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","CedarBridge Labs","15","Yes"
"Hemamox1-164","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","Silverline Pharmaceuticals","20","Yes"
"Irocillin1-165","enalapril","High blood pressure","cough; dizziness; high potassium","BlueLake Pharma","2.5","Yes"
"Junostat1-166","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","NovaHealth Labs","2.5","Yes"
"Karopril1-167","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","MediCore Therapeutics","50","Yes"
"Lumapine1-168","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","Pillara Biotech","100","Yes"
"Medisone1-169","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","ClearPath Pharmaceuticals","250","Yes"
"Nexatab1-170","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","EverWell Labs","500","Yes"
"Orbizol1-171","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","Suncrest Pharma","750","Yes"
"Pillofine1-172","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","GreenLeaf Bio","100","Yes"
"Quinmide1-173","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","PrimeCure Inc","250","Yes"
"Rivotril1-174","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","Horizon Health","500","Yes"
"Sanovex1-175","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","VitalAxis Labs","150","Yes"
"Teraril1-176","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","Orion Medica","500","Yes"
"Uronac1-177","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","Lumen Pharma","250","Yes"
"Vitamir1-178","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","CedarBridge Labs","800","Yes"
"Wellonex1-179","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","Silverline Pharmaceuticals","500","No"
"Xylorova1-180","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","BlueLake Pharma","600","No"
"Yaradex1-181","naproxen","Pain and inflammation","indigestion; headache; dizziness","NovaHealth Labs","220","No"
"Zenolon1-182","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","MediCore Therapeutics","325","No"
"Acuzep1-183","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","Pillara Biotech","50","No"
"Biomox1-184","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","ClearPath Pharmaceuticals","10","No"
"Curacillin1-185","loratadine","Seasonal allergies","headache; dry mouth; fatigue","EverWell Labs","10","No"
"Durastat1-186","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","Suncrest Pharma","120","No"
"Evopril1-187","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","GreenLeaf Bio","25","No"
"Flexpine1-188","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","PrimeCure Inc","850","Yes"
"Genosone1-189","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","Horizon Health","10","Yes"
"Hematab1-190","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","VitalAxis Labs","25","Yes"
"Irozol1-191","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","Orion Medica","30","Yes"
"Junofine1-192","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","Lumen Pharma","5","Yes"
"Karomide1-193","enalapril","High blood pressure","cough; dizziness; high potassium","CedarBridge Labs","2.5","Yes"
"Lumatril1-194","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","Silverline Pharmaceuticals","5","Yes"
"Medivex1-195","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","BlueLake Pharma","100","Yes"
"Nexaril1-196","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","NovaHealth Labs","25","Yes"
"Orbinac1-197","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","MediCore Therapeutics","500","Yes"
"Pillomir1-198","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","Pillara Biotech","500","Yes"
"Quinnex1-199","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","ClearPath Pharmaceuticals","250","Yes"
"Rivorova1-200","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","EverWell Labs","100","Yes"
"Sanodex1-201","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","Suncrest Pharma","250","Yes"
"Teralon1-202","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","GreenLeaf Bio","500","Yes"
"Urozep1-203","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","PrimeCure Inc","150","Yes"
"Vitamox1-204","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","Horizon Health","500","Yes"
"Wellocillin1-205","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","VitalAxis Labs","250","Yes"
"Xylostat1-206","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","Orion Medica","800","Yes"
"Yarapril1-207","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","Lumen Pharma","650","No"
"Zenopine1-208","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","CedarBridge Labs","200","No"
"Acusone1-209","naproxen","Pain and inflammation","indigestion; headache; dizziness","Silverline Pharmaceuticals","250","No"
"Biotab1-210","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","BlueLake Pharma","325","No"
"Curazol1-211","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","NovaHealth Labs","50","No"
"Durafine1-212","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","MediCore Therapeutics","10","No"
"Evomide1-213","loratadine","Seasonal allergies","headache; dry mouth; fatigue","Pillara Biotech","10","No"
"Flextril1-214","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","ClearPath Pharmaceuticals","120","No"
"Genovex1-215","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","EverWell Labs","25","No"
"Hemaril1-216","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","Suncrest Pharma","1000","Yes"
"Ironac1-217","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","GreenLeaf Bio","2.5","Yes"
"Junomir1-218","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","PrimeCure Inc","50","Yes"
"Karonex1-219","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","Horizon Health","45","Yes"
"Lumarova1-220","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","VitalAxis Labs","40","Yes"
"Medidex1-221","enalapril","High blood pressure","cough; dizziness; high potassium","Orion Medica","2.5","Yes"
"Nexalon1-222","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","Lumen Pharma","10","Yes"
"Orbizep1-223","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","CedarBridge Labs","25","Yes"
"Pillomox1-224","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","Silverline Pharmaceuticals","50","Yes"
